,ID,NAME
454,ECOENUSARREBK004000,모기지연체율(90일이상연체_SA)
455,ECOESBRARFDNR002000,머니마켓 금리
456,ECOESBRARTDEX013000,수출국(칠레)
457,ECOEZEUZREICT001000,경기체감지수(EURO17개국)
458,ECOEAIDNRLWUE001000,실업률[인도네시아_NSA]
459,ECOEAJPNRNANG034000,국민총소득(일본_명목_SAAR)
460,ECOEAKORRNARU036000,국내총소득(실질)
461,ECOEECYPRFDER001000,외환보유액[키프로스]
462,ECOENUSARCICI005000,경기후행지수[미국]
463,ECOENUSAREAMF001000,ISM제조업지수[미국]
464,ECOENUSAREAMF018000,제조업수주[미국]
465,ECOEAKORRNANG012000,재고증감및귀중품순취득(명목)
466,ECOEAKORRTDBP016000,단기대외채무총액
467,ECOEAMYSRPCCP001000,소비자물가[말레이시아]
468,ECOEEAUTRNAGG001000,실질GDP증가율[오스트리아]
469,ECOEECYPRGVLI004000,"정부 총 공공부채(IMF 단기부채 포함, GDP 대비)[키프로스]"
470,ECOENUSARMTMS002000,M2[미국]
471,ECOEWIRLRTDBT001000,무역수지[아일랜드]
472,ECOEWITARTDEX009000,수출[이탈리아]
473,ECOEWNLDREAIP002000,산업생산(건설업 제외)(NSA)[네덜란드]
474,ECOEAKORREAIP047000,제조업생산재고-제조업
475,ECOEAKORRLWUE006000,비경제활동인구[구직기간4주]
476,ECOEAKORRNANG001000,국내총생산에대한지출(명목)
477,ECOENUSARMTMS000000,본원통화[미국]
478,ECOESBRARTDIM014000,수입국(미국)
479,ECOESBRARTDIM016000,수입국(이탈리아)
480,ECOESBRARNARG034000,정부지출
481,ECOEAJPNRNANG019000,최종소비지출(일본_명목_SAAR)
482,ECOEAJPNRNANG023000,비거주자소비지출(일본_명목_SAAR)
